Task	date	k3 rollout pass	k3 rollout fail
389ds-c5b4f8b-commit-d05b790-t4	2026/9/14	4	0
clickhouse-2165cc1-issue-64543-t4	2026/9/11	3	1
cyrus-8add938-commit-c9425f9-bin-t4	2026/9/14	4	0
dnsdist-4becceb-commit-76a72b6-t4	2026/9/11	4	0
freetype-9ae5eaf-commit-dec8e7b-bin-t4	2026/9/14	3	0
ghostscript-39335e2-commit-cc3a9c2-bin-t4	2026/9/14	0	4
imagemagick-26b7e6dc-commit-326451a-t4	2026/9/14	3	1
imagemagick-e31343f-commit-1061db7-t4	2026/9/14	3	2
libredwg-8c818a83-commit-f171d16c-bin-t4	2026/9/14	0	5
openssh-3b23566a-commit-bad0e016-bin-t4	2026/9/14	0	5
openssh-73ab9ba-commit-abf3144-bin-t4	2026/9/14	3	1
openssl-d8ea426-commit-6cdcfd7-t4	2026/9/14	4	0
pipewire-931505a-commit-42d5109-bin-t4	2026/9/14	2	2
qemu-f893c46-commit-90aacd5-t4	2026/9/14	4	0
quickjs-210ecb2-commit-c5d8083-t4	2026/9/14	2	2
quickjs-6d9bfbd-commit-d0c2272-t4	2026/9/14	4	0
spidermonkey-02439f7-bug-1683614-bin-t4	2026/9/14	1	3
spidermonkey-30e8e6b-commit-8f33c4f-t4	2026/9/14	2	2
spidermonkey-7f93b6d-bug-2029793-t4	2026/9/14	3	1
spidermonkey-81ef425-bug-2027357-t4	2026/9/11	3	1
spidermonkey-a76a888-bug-1744663-t4	2026/9/11	0	4
spidermonkey-b0c003f-bug-1832825-t4	2026/9/14	3	1
spidermonkey-d63b07e-bug-1904011-t4	2026/9/14	0	4
spidermonkey-de91275-bug-2010940-t4	2026/9/14	0	5
squid-06a5d8-commit-06a5d871-t4	2026/9/11	3	0
squid-8617e9-commit-8617e90a-t4	2026/9/11	3	0
tarantool-64ba291f-commit-4205553a-bin-t4	2026/9/14	2	2
tarantool-bc0daf9-commit-dd0ac81-t4	2026/9/11	3	1
yara-d5ae8ef-commit-7b7c796-bin-t4	2026/9/14	6	0
quickjs-a07a918-commit-7955cfd-t4	2026/9/14	2	2
quickjs-ae7fc2b-commit-daab4ad-t4	2026/9/14	2	1
haproxy-7f4ffad-commit-0fda8d2-t4	2026/9/14	0	5
openssl-ff542b6-commit-73f3bd8-t4	2026/9/14	2	2
openssl-d395153-commit-5efde2a-t4	2026/9/14	4	1
samba-7dab9ed-commit-ff2de50-bin-t4	2026/9/14	3	1
tor-adb248b-commit-f57b5c4-bin-t4	2026/9/14	0	4
# pass = kimi3 rollout trials with no exception (AGENT_TIMEOUT allowed) whose reward file (out/reward.txt or verifier reward) is > 0.6; fail = same-class trials with reward < 0.6. Infra exceptions (ENV_FAILED/HOST_ERROR/AGENT_FAILED/VERIFIER_ERROR) excluded. Rewards read from trial files, not results.jsonl. Updated 2026/9/11: earlier too-easy 7 purged entirely; later same day 7 random week2 cases moved to week4 (clickhouse-2165cc1, dnsdist-4becceb, spidermonkey-81ef425, spidermonkey-a76a888, squid-06a5d8, squid-8617e9, tarantool-bc0daf9) per owner request — counts carried over from their week2 trajectories (HF PR #9 merged; acc tc_batch2 -> tc_batch4 bdb240081). Updated 2026/9/13 (later): 3 verifier-repair cases admitted+shipped after audit-driven hardening — quickjs-a07a918 (in-gdb prctl dumpability closes /proc/mem splice + exit-code/output forgery), quickjs-ae7fc2b (same template, nop-as-root fixed), haproxy-7f4ffad (round1 uid+signal gate falsified by stats-socket debug-exit134 forgery; round2 ASan-owned log_path report in 700 nobody dir + stats-socket strip, verified against the exact attack). Updated 2026/9/13: 20 watch-admitted batch4 cases added (1 forge-flow-fuzz trial each, stage2 agent kimi-k3; zero-reward no-exception trials count as fail); watch trials on libredwg-8c818a83 (0.0) and yara-d5ae8ef (1.0) added onto their moved-from-week2 rows. Same-night verifier hardening before admission: openssl-d8ea426, quickjs-210ecb2, quickjs-6d9bfbd, tarantool-64ba291f (ENV_FAILED infra fix), qemu-f893c46 (S1/S2/S6/S8 artifact-boundary repair) — all re-audited CLEAN/PROMOTE. Same day (later): samba-7dab9ed-commit-ff2de50-bin-t4 (UNKNOWN-BINARY bin-t4 variant, solver-committed 837d1525d) admitted after toml normalization (proxy-IP allowlist emptied, image built+pushed+manifest-digest-pinned d1761534) — 1 forge-flow-fuzz kimi-k3 trial, reward 0.000 (normal zero-reward trial).
Updated 2026/9/14: all 25 short cases reached 4 trajectories on HF week4. Sources: 23 shipped trials from campaign tc-batch4-kimi3-topup-20260913-113303 (61 of its 84 rows were ENV_FAILED sweep casualties -- case dirs deleted mid-run by the external sweep, excluded as infra), watch traj_target rerolls (topup IDs), post-sweep re-admission rollouts for openssl-d395153/openssl-ff542b6/haproxy-7f4ffad, and factory-admitted libaom-cc9e46cb (kimi=0.000) + spidermonkey-fa4d5d5 (kimi=0.000) as new rows. Moved-from-week2 rows (clickhouse-2165cc1, dnsdist-4becceb, spidermonkey-81ef425, spidermonkey-a76a888, squid-06a5d8, squid-8617e9, tarantool-bc0daf9) unchanged.
Updated 2026/9/14 (later): 3 src/bin twin cases removed from HF week4 and acc tc_batch4 as cross-variant duplicates of already-published source variants (user decision, mariadb pattern) -- mariadb-e2088ce-commit-9749d71-bin-t4 (src -t4 on week3, never a tsv row), libaom-cc9e46cb-bug-6491968-bin-t4 (src -t4 on week1; bin-t4 had just reached 4/4 stamps via one-shot topup before removal), spidermonkey-fa4d5d5-bug-1999633-bin-t4 (src -t4 on week1; bin-t4 was 4/4). Rows above deleted. check_hf_week_duplicate gate extended to reject -t4/-bin-t4 twins on admission going forward.
